,cancelled flight,delayed flight,discrimination,lost baggage,other,poor customer service,ticket issue,trouble with refunds,uncomfortable flight
cancelled flight,1.0,1.6404706082934842e-10,5.332253025592478e-28,0.0019057331670918388,6.431159313217423e-209,9.574294283626375e-05,0.003246457933784247,7.437926566168112e-05,0.0480484517759253
delayed flight,1.6404706082934842e-10,1.0,9.437301371629079e-13,1.0,1.8952186197737974e-193,7.043323644825572e-36,0.03818601998933787,1.0,3.3365013010676634e-22
discrimination,5.332253025592478e-28,9.437301371629079e-13,1.0,6.321901387040134e-10,2.7253997881638116e-11,2.876543432225961e-47,6.940304173703662e-19,1.2149227143783074e-10,1.4551580441729495e-38
lost baggage,0.0019057331670918388,1.0,6.321901387040134e-10,1.0,1.2235580447252397e-69,3.4900198979147105e-13,1.0,1.0,3.857674709425119e-09
other,6.431159313217423e-209,1.8952186197737974e-193,2.7253997881638116e-11,1.2235580447252397e-69,1.0,0.0,7.871096977998081e-213,2.737614527439096e-88,5.910133729024182e-227
poor customer service,9.574294283626375e-05,7.043323644825572e-36,2.876543432225961e-47,3.4900198979147105e-13,0.0,1.0,2.9043423426345994e-19,1.74307916606468e-17,1.0
ticket issue,0.003246457933784247,0.03818601998933787,6.940304173703662e-19,1.0,7.871096977998081e-213,2.9043423426345994e-19,1.0,1.0,2.9015332521069755e-11
trouble with refunds,7.437926566168112e-05,1.0,1.2149227143783074e-10,1.0,2.737614527439096e-88,1.74307916606468e-17,1.0,1.0,6.584108300284099e-12
uncomfortable flight,0.0480484517759253,3.3365013010676634e-22,1.4551580441729495e-38,3.857674709425119e-09,5.910133729024182e-227,1.0,2.9015332521069755e-11,6.584108300284099e-12,1.0
